Date,Open,High,Low,Close,Adj Close,Volume
2018-10-25,1.30468,1.30977,1.3015,1.30475,1.30475,0
2018-10-26,1.30724,1.31562,1.30724,1.30707,1.30707,0
2018-10-29,1.30966,1.31324,1.3081,1.30955,1.30955,0
2018-10-30,1.31305,1.31437,1.31,1.31288,1.31288,0
2018-10-31,1.31154,1.31388,1.31107,1.3114,1.3114,0
2018-11-01,1.31585,1.31675,1.3068,1.31575,1.31575,0
2018-11-02,1.30921,1.31136,1.3047,1.30902,1.30902,0
2018-11-05,1.3099,1.31123,1.307,1.31007,1.31007,0
2018-11-06,1.31096,1.31345,1.3104,1.31092,1.31092,0
2018-11-07,1.31146,1.31568,1.3056,1.31163,1.31163,0
2018-11-08,1.3116,1.31249,1.3086,1.31157,1.31157,0
2018-11-09,1.31445,1.32285,1.31445,1.31428,1.31428,0
2018-11-12,1.31925,1.32264,1.318,1.31929,1.31929,0
2018-11-13,1.3241,1.32574,1.3214,1.3242,1.3242,0
2018-11-14,1.32232,1.32579,1.32108,1.32246,1.32246,0
2018-11-15,1.3246,1.32485,1.3191,1.3247,1.3247,0
2018-11-16,1.3171,1.31856,1.31267,1.3172,1.3172,0
2018-11-19,1.31474,1.32007,1.31474,1.31465,1.31465,0
2018-11-20,1.31701,1.32687,1.3154,1.31716,1.31716,0
2018-11-21,1.33061,1.33164,1.32641,1.3305,1.3305,0
2018-11-22,1.32274,1.3243,1.32004,1.3225,1.3225,0
2018-11-23,1.3189,1.32546,1.3187,1.31906,1.31906,0
2018-11-26,1.32264,1.32413,1.31866,1.3226,1.3226,0
2018-11-27,1.3251,1.33122,1.32352,1.32535,1.32535,0
2018-11-28,1.32972,1.33586,1.3292,1.32954,1.32954,0
2018-11-29,1.32759,1.33085,1.32538,1.3276,1.3276,0
2018-11-30,1.32744,1.33323,1.32729,1.3275,1.3275,0
2018-12-03,1.3255,1.3267,1.31595,1.32556,1.32556,0
2018-12-04,1.31993,1.32121,1.3162,1.31977,1.31977,0
2018-12-05,1.3255,1.33946,1.32528,1.3255,1.3255,0
2018-12-06,1.33627,1.34423,1.33627,1.336,1.336,0
2018-12-07,1.33907,1.33988,1.32542,1.33937,1.33937,0
2018-12-10,1.33289,1.34031,1.32924,1.33274,1.33274,0
2018-12-11,1.34002,1.34207,1.3378,1.33979,1.33979,0
2018-12-12,1.33785,1.33864,1.33242,1.33784,1.33784,0
2018-12-13,1.33515,1.33804,1.334,1.3346,1.3346,0
2018-12-14,1.33506,1.34007,1.3346,1.3347,1.3347,0
2018-12-17,1.33865,1.34067,1.3371,1.33879,1.33879,0
2018-12-18,1.3412,1.34684,1.33915,1.34123,1.34123,0
2018-12-19,1.34544,1.34815,1.34149,1.3457,1.3457,0
2018-12-20,1.34748,1.35259,1.34464,1.34749,1.34749,0
2018-12-21,1.34985,1.35713,1.3491,1.34984,1.34984,0
2018-12-24,1.35971,1.36008,1.3564,1.35954,1.35954,0
2018-12-25,1.3608,1.3728,1.35381,1.3608,1.3608,0
2018-12-26,1.3585,1.36146,1.3574,1.3586,1.3586,0
2018-12-27,1.35739,1.36591,1.35739,1.3573,1.3573,0
2018-12-28,1.3621,1.36591,1.3593,1.3619,1.3619,0
2018-12-31,1.3626,1.36636,1.3608,1.3622,1.3622,0
2019-01-01,1.33943,1.3646,1.32631,1.33943,1.33943,0
2019-01-02,1.3625,1.36596,1.3569,1.36254,1.36254,0
2019-01-03,1.363,1.3644,1.34736,1.36312,1.36312,0
2019-01-04,1.3476,1.34906,1.33814,1.34788,1.34788,0
2019-01-07,1.33689,1.3376,1.32882,1.33693,1.33693,0
2019-01-08,1.32967,1.3319,1.3267,1.3296,1.3296,0
2019-01-09,1.32478,1.32541,1.31802,1.3247,1.3247,0
2019-01-10,1.32132,1.32563,1.3207,1.32115,1.32115,0
2019-01-11,1.32363,1.32738,1.3181,1.3239,1.3239,0
2019-01-14,1.32671,1.32971,1.3253,1.32674,1.32674,0
2019-01-15,1.32758,1.32824,1.32268,1.32761,1.32761,0
2019-01-16,1.326,1.32834,1.32348,1.32596,1.32596,0
2019-01-17,1.32605,1.33183,1.32548,1.32587,1.32587,0
2019-01-18,1.32807,1.32816,1.32362,1.32802,1.32802,0
2019-01-21,1.3275,1.33162,1.3254,1.3275,1.3275,0
2019-01-22,1.3297,1.33522,1.3295,1.3295,1.3295,0
2019-01-23,1.33557,1.33674,1.33052,1.3356,1.3356,0
2019-01-24,1.3338,1.3374,1.3327,1.33411,1.33411,0
2019-01-25,1.33516,1.3356,1.32379,1.33505,1.33505,0
2019-01-28,1.3222,1.32846,1.3202,1.3221,1.3221,0
2019-01-29,1.32624,1.32769,1.3244,1.32603,1.32603,0
2019-01-30,1.32719,1.32801,1.31867,1.32714,1.32714,0
2019-01-31,1.3143,1.31635,1.312,1.3141,1.3141,0
2019-02-01,1.31265,1.31563,1.30844,1.31259,1.31259,0
2019-02-04,1.30968,1.31459,1.3083,1.3099,1.3099,0
2019-02-05,1.3114,1.3151,1.31,1.31165,1.31165,0
2019-02-06,1.3124,1.32072,1.3123,1.3124,1.3124,0
2019-02-07,1.3214,1.32961,1.32139,1.3213,1.3213,0
2019-02-08,1.33117,1.33285,1.3232,1.33109,1.33109,0
2019-02-11,1.32761,1.33171,1.32625,1.3274,1.3274,0
2019-02-12,1.33033,1.33139,1.324,1.33,1.33,0
2019-02-13,1.32296,1.3254,1.31959,1.32286,1.32286,0
2019-02-14,1.32597,1.33392,1.3224,1.32591,1.32591,0
2019-02-15,1.32976,1.33115,1.32579,1.3297,1.3297,0
2019-02-18,1.32407,1.32424,1.3224,1.3239,1.3239,0
2019-02-19,1.32349,1.32798,1.32337,1.3234,1.3234,0
2019-02-20,1.32094,1.32126,1.3149,1.32089,1.32089,0
2019-02-21,1.31702,1.32053,1.3162,1.317,1.317,0
2019-02-22,1.32292,1.32406,1.31749,1.32254,1.32254,0
2019-02-25,1.31317,1.3184,1.31134,1.3131,1.3131,0
2019-02-26,1.3183,1.32351,1.31742,1.31852,1.31852,0
2019-02-27,1.3162,1.31748,1.3116,1.3162,1.3162,0
2019-02-28,1.31477,1.32052,1.31406,1.3145,1.3145,0
2019-03-01,1.31654,1.32774,1.3128,1.31643,1.31643,0
2019-03-04,1.32841,1.33325,1.3275,1.32836,1.32836,0
