formatted_date,XIU.TO,HXT.TO,VCN.TO,XUU.TO,ZCN.TO
2016-11-15,25.18746733164916,29.34000015258789,31.737240410374636,23.28792359990569,23.186678859949893
2016-11-16,25.175981675709117,29.31999969482422,31.70538766731662,23.247012829330387,23.128536410251087
2016-11-17,25.371233445360076,29.549999237060547,31.896512226565793,23.472018166028725,23.30296154143983
2016-11-18,25.44014519033545,29.6299991607666,31.992072480965106,23.472018166028725,23.33784479335144
2016-11-21,25.727280016841867,29.959999084472656,32.38493985555788,23.420879702809597,23.59366713621084
2016-11-22,25.819163073697325,30.059999465942383,32.52297313433491,23.56406544909024,23.733204579672627
2016-11-23,25.79963781786829,30.049999237060547,32.491120391276894,23.707249244637975,23.698319109853344
2016-11-24,25.811202241419306,30.06999969482422,32.491120391276894,23.707249244637975,23.709947599793104
2016-11-25,25.822766664970324,30.110000610351562,32.52297313433491,23.85043304018571,23.733204579672627
2016-11-28,25.683995788046364,29.90999984741211,32.32123234421658,23.56406544909024,23.59366713621084
2016-11-29,25.66086914663259,29.899999618530273,32.289377575933294,23.584518883644982,23.59366713621084
2016-11-30,25.73025348225044,29.969999313354492,32.54420964652377,23.512926985871115,23.733204579672627
2016-12-01,25.637740299530552,29.84000015258789,32.41679462384116,23.236785136686564,23.640178878062212
2016-12-02,25.683995788046364,29.920000076293945,32.48050213518246,23.19587631684417,23.68669283782126
2016-12-05,25.73025348225044,29.969999313354492,32.54420964652377,23.298151292549516,23.74483306961239
2016-12-06,25.811202241419306,30.06999969482422,32.61853541395949,23.451562780741074,23.802973301403522
2016-12-07,26.042486301063153,30.34000015258789,32.862751253680806,23.69702155199415,23.977398432592267
2016-12-08,26.14656390733406,30.469999313354492,32.99016627636341,23.6765661667065,24.08205040623477
2016-12-09,26.192819395849874,30.520000457763672,33.032639300741124,23.73793037183654,24.105307386114294
2016-12-12,26.14656390733406,30.459999084472656,32.968929764174554,23.666338474062673,24.08205040623477
2016-12-13,26.343154696324852,30.700000762939453,33.22376385999029,23.789068835055666,24.244847047483756
2016-12-14,26.042486301063153,30.34000015258789,32.91584050892768,23.799296527699493,23.977398432592267
2016-12-15,26.13499948378304,30.459999084472656,32.873367484549966,24.095891811438786,23.989024704624352
2016-12-16,26.192819395849874,30.5,32.94769527721097,24.034527606308743,24.02391017444364
2016-12-19,26.22751266650293,30.549999237060547,32.97954802026898,24.21862217243178,24.058795644262922
2016-12-20,26.250641513604965,30.56999969482422,33.04325755683555,24.21862217243178,24.105307386114294
2016-12-21,26.239077090053947,30.579999923706055,33.06449204379914,24.249303299630345,24.116935876054054
2016-12-22,26.343154696324852,30.690000534057617,33.12820158036571,24.310669455493297,24.1634498358131
2016-12-23,26.308461425671798,30.649999618530273,33.11758332427128,24.423170173109554,24.16344832763588
2016-12-28,26.343154696324852,30.700000762939453,33.20146522245865,24.318850564015516,24.22198515442764
2016-12-29,26.412539031942703,30.739999771118164,33.29757769983071,24.164608772618664,24.30393447898448
2016-12-30,26.181254972298856,30.5,33.05195782960677,23.979517838426123,24.128328464512446
2017-01-03,26.377845761289645,30.690000534057617,33.26553952841154,24.174891820217226,24.292227113626126
2017-01-04,26.586000973831457,30.979999542236328,33.543197570054645,24.164608772618664,24.46783312809816
2017-01-05,26.678514156551344,31.079999923706055,33.70338435337959,23.96923479082756,24.584904548730055
2017-01-06,26.57443655028044,30.959999084472656,33.532518179581594,24.030933076418933,24.46783312809816
2017-01-09,26.412539031942703,30.770000457763672,33.29757769983071,23.93838760932266,24.292227113626126
2017-01-10,26.470358944009533,30.860000610351562,33.383010786729706,23.96923479082756,24.362469072824616
2017-01-11,26.62069424448451,31.020000457763672,33.51115939863548,23.897255418928413,24.45612576273981
2017-01-12,26.528181061764627,30.920000076293945,33.37233139625665,23.75329667513012,24.350761707466262
2017-01-13,26.655385309449308,31.059999465942383,33.51115939863548,23.794426904233582,24.45612576273981
2017-01-16,26.609129820933493,31.010000228881836,33.45776448315565,23.794426904233582,24.421005899616375
2017-01-17,26.551307703178402,30.940000534057617,33.383010786729706,23.60933597004104,24.374176438182968
2017-01-18,26.49348779111157,30.860000610351562,33.29757769983071,24.010366981221807,24.292227113626126
2017-01-19,26.528181061764627,30.90999984741211,33.32961383436442,23.989800886024685,24.339056575059534
2017-01-20,26.794156186373268,31.219999313354492,33.639310047426704,24.07206330552239,24.549782452655002
2017-01-23,26.678514156551344,31.09000015258789,33.489802654574824,23.907538466526976,24.45612576273981
2017-01-24,26.909798216195192,31.360000610351562,33.8101762212247,23.979517838426123,24.666853873286897
2017-01-25,26.932927063297228,31.3799991607666,33.86357113670453,23.979517838426123,24.701975969361953
2017-01-26,26.886669369093156,31.31999969482422,33.79949683075164,24.000083933623245,24.666853873286897
2017-01-27,26.805720609924286,31.239999771118164,33.70338435337959,24.010366981221807,24.584904548730055
2017-01-30,26.539745485315645,30.950000762939453,33.37233139625665,23.80470995183214,24.339056575059534
2017-01-31,26.48192336756055,30.8700008392334,33.31893648077683,23.66075120803385,24.327349209701183
2017-02-01,26.48192336756055,30.84000015258789,33.34029322483748,23.732730579932998,24.350761707466262
2017-02-02,26.470358944009533,30.84000015258789,33.32961383436442,23.67103425563241,24.339056575059534
2017-02-03,26.597565397382475,30.989999771118164,33.51115939863548,23.876689323731288,24.45612576273981
2017-02-06,26.539745485315645,30.920000076293945,33.46844387362871,23.907538466526976,24.432713264974726
2017-02-07,26.64382309158655,31.040000915527344,33.5538769605277,24.05149721032527,24.502955224173217
2017-02-08,26.7132074272044,31.1200008392334,33.639310047426704,24.07206330552239,24.573197183371704
2017-02-09,26.840411674889083,31.270000457763672,33.83153500217082,24.216022049320685,24.678561238645248
2017-02-10,27.00231139891508,31.479999542236328,34.05579609144864,24.226305096919248,24.877581983833984
2017-02-13,27.08326015808395,31.56999969482422,34.13054978787458,24.298284468818395,24.91270407990904
2017-02-14,27.164208917252815,31.639999389648438,34.20530348430052,24.380546888316104,24.971238673749177
2017-02-15,27.233593252870666,31.739999771118164,34.312097389031095,24.51422454580662,25.05318799830602
2017-02-16,27.245157676421684,31.75,34.3548108771524,24.483375403010935,25.07660272902272
2017-02-17,27.245157676421684,31.729999542236328,34.312097389031095,24.555354774910082,25.05318799830602
2017-02-21,27.35270497149077,31.889999389648438,34.47228213547057,24.822708128600333,25.158552053579562
2017-02-22,27.236310038240642,31.75,34.312097389031095,24.802143994693996,25.06489536366437
2017-02-23,27.096637894379448,31.56999969482422,34.183944703354406,24.709598527597723,24.959531308390826
2017-02-24,26.677617022698474,31.079999923706055,33.66066882837282,24.627336108100017,24.584904548730055
2017-02-27,26.759092809958954,31.18000030517578,33.67134821884588,24.89468750049948,24.584904548730055
2017-02-28,26.503025732847636,30.889999389648438,33.41504895814888,25.02836515799,24.421005899616375
2017-03-01,26.7940119559486,31.229999542236328,33.83153500217082,25.511656627377686,24.701975969361953
2017-03-02,26.759092809958954,31.18000030517578,33.71406374385265,25.48080944587279,24.60831927944676
2017-03-03,26.887127458538963,31.34000015258789,33.884929917650645,25.408828112682855,24.725390700078655
2017-03-06,26.96860324579944,31.420000076293945,33.92764747954287,25.388263978776518,24.76051056320209
2017-03-07,26.933684099809792,31.40999984741211,33.884929917650645,25.30600155927881,24.713683334720304
2017-03-08,26.78237224061872,31.219999313354492,33.66066882837282,25.367697883579392,24.549782452655002
2017-03-09,26.817291386608368,31.25,33.64998943789976,25.357414835980833,24.561489818013353
2017-03-10,26.759092809958954,31.18000030517578,33.64998943789976,25.367697883579392,24.561489818013353
2017-03-13,26.82892888188955,31.280000686645508,33.7247431343257,25.39854702637508,24.655146507928546
2017-03-14,26.549582374118465,30.93000030517578,33.41504895814888,25.377980931177955,24.39759116889967
2017-03-15,26.724173663969307,31.149999618530273,33.70338435337959,25.295718511680246,24.62002664480511
2017-03-16,26.817291386608368,31.25,33.8101762212247,25.285435464081687,24.6902686040036
2017-03-17,26.677617022698474,31.100000381469727,33.639310047426704,25.295718511680246,24.584904548730055
2017-03-20,26.596141235437997,30.979999542236328,33.532518179581594,25.26486936888456,24.491247858814862
2017-03-21,26.35171165360786,30.700000762939453,33.233503393877825,24.884406414191705,24.280519748267775
2017-03-22,26.444827156198222,30.81999969482422,33.31893639930141,24.853557271396017,24.339056575059534
2017-03-23,26.596141235437997,30.989999771118164,33.49073867522325,24.9152535956966,24.47954049345651
2017-03-24,26.619420666097763,31.030000686645508,33.54442611843207,24.864868443315686,24.502955224173217
2017-03-27,26.724173663969307,31.1299991607666,33.66254095114509,24.93711971736516,24.60831927944676
2017-03-28,26.898767173868844,31.34000015258789,33.888030670275754,25.14355361639185,24.75816959031158
2017-03-29,27.00352239178909,31.479999542236328,34.038359197740874,25.050658558699794,24.864276211308006
2017-03-30,26.840568597219434,31.280000686645508,33.85581902356834,25.102266049106685,24.734589841492685
2017-03-31,26.7940119559486,31.260000228881836,33.823605328816235,25.050658558699794,24.722799967083237
2017-04-03,26.863848027879197,31.299999237060547,33.89876856852646,25.12290983274927,24.75816959031158
2017-04-04,27.00352239178909,31.459999084472656,34.0705708444483,25.174517323156156,24.876066085717458
2017-04-05,26.956963530469558,31.420000076293945,34.022251326342484,25.133231724570557,24.876066085717458
2017-04-06,27.084998179049567,31.600000381469727,34.156471982409215,25.164195431334864,24.946803083485534
2017-04-07,27.05007903305992,31.520000457763672,34.059832946197595,25.21580489044132,24.899645834536354
2017-04-10,27.14319453565028,31.639999389648438,34.210161473662716,25.040336666878503,25.017540081253614
2017-04-11,27.084998179049567,31.56999969482422,34.156471982409215,24.99904909959334,24.99396258112333
