formatted_date,ACZ.TO,ATSX.TO,BASE-B.TO,BASE.TO,BDIV.TO,BESG.TO,BGC.TO,BGU.TO,BLCK.TO,BLOV.TO,BNC.TO,BND.TO,BPRF.TO,BREA.TO,BXF.TO,CACB.TO,CAGG.TO,CAGS.TO,CALL.TO,CARS-B.TO,CARS.TO,CBH.TO,CBO.TO,CDLB-B.TO,CDZ.TO,CEW.TO,CFLX.TO,CGAA.TO,CGL-C.TO,CGL.TO,CGLO.TO,CGR.TO,CGXF.TO,CHB.TO,CHNA-B.TO,CIBR.TO,CIC.TO,CIF.TO,CINF.TO,CINT.TO,CLF.TO,CLG.TO,CMAG.TO,CMAR.TO,CMCE.TO,CMEY.TO,CMR.TO,CMUE.TO,COMM.TO,COW.TO,CPD.TO,CRED.TO,CSAV.TO,CSD.TO,CSY.TO,CUD.TO,CVD.TO,CWW.TO,CXF.TO,CYBR-B.TO,CYBR.TO,CYH.TO,DANC.TO,DCC.TO,DCG.TO,DCP.TO,DCS.TO,DCU.TO,DFC.TO,DFD.TO,DFE.TO,DFU.TO,DGR-B.TO,DGR.TO,DGRC.TO,DISC.TO,DIVS.TO,DLR.TO,DQD.TO,DQI.TO,DRCU.TO,DRFC.TO,DRFE.TO,DRFG.TO,HXS.TO,ZQQ.TO
2015-07-28,11.782,,,,,22.033999618530274,,,,,,,,,10.698999656677247,,,,,,,23.051000228881836,23.006999771118164,,27.304999237060546,10.908000190734864,,31.932212707153315,12.579999923706055,9.6899995803833,,30.003,21.580000152587893,24.894999694824218,,23.65799954223633,12.463000000000001,25.90826527001953,,,22.335999694824217,22.25299946594238,,,,,51.607,,,33.45900030517578,17.16900019073486,,,22.747000228881838,28.04399931335449,34.118999084472655,22.551999237060546,28.82999954223633,11.224999732971192,,,20.52251765600586,,,,,,,,,,,,,,,,12.890000343322754,,,,,,,12.180000305175781,36.28800091552734
2015-07-29,11.598000457763671,,,,,21.994000610351563,,,,,,,,,10.698999656677247,,,,,,,23.02099954223633,22.976999084472656,,27.72499931335449,11.137999732971192,,32.016958114257804,12.649999618530273,9.6899995803833,,29.98299954223633,21.580000152587893,25.025000762939452,,23.65799954223633,12.62299984741211,26.26108852746582,,,22.32599946594238,22.23300091552734,,,,,51.607,,,33.61900015258789,17.148999732971188,,,22.83700038146973,28.52400076293945,34.38899954223633,22.702000762939452,29.030000305175783,11.375000305175782,,,20.76335475317383,,,,,,,,,,,,,,,,12.90999984741211,,,,,,,12.232500076293945,36.488001678466794
2015-07-30,11.828,,,,,22.04399984741211,,,,,,,,,10.668999923706055,,,,,,,22.991000762939453,23.006999771118164,,27.855000381469726,11.198000152587891,,31.875715133300776,12.569999694824219,9.619999885559082,,30.062999465942383,21.62000011444092,25.085000228881835,,23.688000228881837,12.62299984741211,26.432458080078124,,,22.32599946594238,22.23300091552734,,,,,51.607,,,33.82899923706054,17.07900003814697,,,22.687000762939455,28.52400076293945,34.42900045776367,22.56199946594238,29.29000053405762,11.344999618530274,,,20.941365693725587,,,,,,,,,,,,,,,,12.960000038146973,,,,,,,12.342499732971191,36.62800106811523
2015-07-31,11.947999885559081,,,,,22.084000762939453,,,,,,,,,10.708999885559082,,,,,,,23.061000457763672,23.066999237060546,,28.074999694824218,11.257999618530274,,31.988710281005854,12.65999984741211,9.65999984741211,,30.32299969482422,22.019999732971193,25.154999923706054,,23.827999618530274,12.692999542236329,26.462701,,,22.345999923706053,22.262999694824217,,,,,51.607,,,34.0389983215332,16.91900019073486,,,22.667000305175783,28.52400076293945,34.47899969482422,22.551999237060546,29.569999313354494,11.375000305175782,,,20.752883409179688,,,,,,,,,,,,,,,,13.039999961853027,,,,,,,12.382499694824219,36.547999237060544
2015-08-04,11.968000343322753,,,,,22.11399954223633,,,,,,,,,10.708999885559082,,,,,,,23.11099969482422,23.017,,28.035000686645507,11.288000305175782,,32.468936797729484,12.800000190734863,9.630000114440918,,30.642999389648438,21.700000038146975,25.025000762939452,,23.827999618530274,12.7730004196167,26.432458080078124,,,22.366000381469725,22.30300061035156,,,,,51.607,,,34.26900167846679,16.959000152587887,,,22.687000762939455,28.944000839233397,34.34899862670898,22.422000076293944,29.63000068664551,11.375000305175782,,,20.857596849121094,,,,,,,,,,,,,,,,13.140000343322754,,,,,,,12.427499771118164,36.33800015258789
2015-08-05,11.888000419616699,,,,,22.084000762939453,,,,,,,,,10.679000152587891,,,,,,,23.041,22.996999542236328,,28.015000228881835,11.318000038146973,,32.299444076171866,12.720000267028809,9.569999694824219,,30.673000076293945,21.700000038146975,24.98499984741211,,24.077999618530274,12.763000190734864,26.049395717407226,,,22.35600015258789,22.28300015258789,,,,,51.607,,,34.38900061035156,17.01899961853027,,,22.657000076293947,28.7039991607666,34.469001373291015,22.542000915527343,29.710000610351564,11.304999656677246,,,20.847125505126954,,,,,,,,,,,,,,,,13.149999618530273,,,,,,,12.457500457763672,36.68799862670898
2015-08-06,11.928000381469726,,,,,22.084000762939453,,,,,,,,,10.679000152587891,,,,,,,23.071000686645508,23.027000228881835,,27.925000076293944,11.227999885559083,,32.299444076171866,12.770000457763672,9.619999885559082,,30.3829991607666,21.500000228881838,24.874999237060546,,23.477999237060548,12.752999961853028,25.867943919921874,,,22.366000381469725,22.28300015258789,,,,,51.6169983215332,,,34.1790015258789,16.978999656677242,,,22.636999618530275,28.7039991607666,34.309001525878905,22.68200030517578,29.6,11.415000267028809,,,20.7214712845459,,,,,,,,,,,,,,,,13.069999694824219,,,,,,,12.300000190734863,36.078001831054685
2015-08-07,11.928000381469726,,,,,22.11399954223633,,,,,,,,,10.679000152587891,,,,,,,23.090999237060547,23.006999771118164,,27.855000381469726,11.147999961853028,,32.299444076171866,12.770000457763672,9.619999885559082,,30.513000228881836,21.62000011444092,24.855000686645507,,23.528000381469727,12.723000228881837,26.01915279748535,,,22.335999694824217,22.293000381469724,,,,,51.607,,,33.83900137329101,16.889000457763668,,,22.597000610351564,28.04399931335449,34.25899847412109,22.622000839233397,29.429999923706056,11.224999732971192,,,20.637700532592774,,,,,,,,,,,,,,,,13.09000015258789,,,,,,,12.239999771118164,36.01800045776367
2015-08-10,12.027999809265136,,,,,22.033999618530274,,,,,,,,,10.689000381469727,,,,,,,23.051000228881836,22.996999542236328,,28.054999237060546,11.297999580383301,,32.101703521362296,12.869999885559082,9.739999771118164,,30.212999084472656,21.979999771118166,24.874999237060546,,23.528000381469727,12.803000152587892,26.009072459960937,,,22.335999694824217,22.272999923706053,,,,,51.6169983215332,,,34.008999542236324,16.978999656677242,,,22.6070008392334,28.643999694824217,34.58900030517578,22.641999389648436,29.409999465942384,11.344999618530274,,,20.700528596557618,,,,,,,,,,,,,,,,12.949999809265137,,,,,,,12.317500114440918,36.41799816894531
2015-08-11,11.958000114440917,,,,,22.123999771118164,,,,,,,,,10.698999656677247,,,,,,,23.100999465942383,23.03700045776367,,27.994999771118163,11.227999885559083,,31.96046054040527,12.920000076293945,9.8100004196167,,30.603000381469727,22.21999954223633,24.784999084472656,,23.58799984741211,12.752999961853028,26.069556392456054,,,22.37600061035156,22.332999389648435,,,,,51.6169983215332,,,33.79900045776367,16.938999694824215,,,22.566999923706057,28.52400076293945,34.38899954223633,22.551999237060546,29.50999984741211,11.285000152587891,,,20.606286500610352,,,,,,,,,,,,,,,,13.079999923706055,,,,,,,12.300000190734863,36.0079983215332
