formatted_date,HXS.TO,EQL.TO,HSH.TO,ULV-C.TO,ULV-F.TO,VFV.TO,VSP.TO,XSP.TO,XUS.TO,ZSP-U.TO,ZSP.TO,ZUE.TO,HULC.TO,VUN.TO,VUS.TO
2013-08-30,7.5,,,,23.780000686645508,30.990735526597366,29.455265277548662,19.382012373789784,21.49985840575651,18.100000381469727,19.182892989631842,26.115883949834796,,24.31999969482422,34.03993041819992
2013-09-03,7.53000020980835,,,,23.760000228881836,31.173213181425538,29.546646813177087,19.444102463912234,21.61021759910352,18.229999542236328,19.273807329650413,26.16784670862341,,24.399999618530273,34.267204962030796
2013-09-04,7.574999809265137,,,,23.84000015258789,31.305001524579477,29.8512506408559,19.620018464688933,21.680445480845705,18.3799991607666,19.35461986225328,26.49000788440656,,24.489999771118164,34.51514548543284
2013-09-05,7.590000152587891,,,,23.81999969482422,31.365828698588555,29.86140435999505,19.651063509750156,21.78076993272525,18.3700008392334,19.415228780024744,26.510792987922006,,24.600000381469727,34.59779364019383
2013-09-06,7.525000095367432,,,,23.93000030517578,31.21376463076492,30.013706273834455,19.651063509750156,21.369433556607085,18.440000534057617,19.29401094448182,26.64589219641927,,24.389999389648438,34.65977581538365
2013-09-09,7.565000057220459,,,,24.059999465942383,31.27458987117447,30.084780371184582,19.847678180979972,21.600184771202315,18.5,19.35461986225328,26.80177849060855,,24.549999237060547,35.000693542451344
2013-09-10,7.599999904632568,,,,24.15999984741211,31.426653938998104,30.33861753979156,19.992551110441084,21.78076993272525,18.649999618530273,19.43543239485615,26.89530749207492,,24.649999618530273,35.22796808628222
2013-09-11,7.59499979019165,,,,24.190000534057617,31.416516076663257,30.419845356280838,20.04429285220979,21.7707390183903,18.759559631347656,19.425330587440445,27.02001613099103,,24.6299991607666,35.310616241043206
2013-09-12,7.590000152587891,,,,24.18000030517578,31.375966560923402,30.419845356280838,19.982202762087343,21.7707390183903,18.719999313354492,19.445534202271855,26.94727025086354,,24.6200008392334,35.258963114758046
2013-09-13,7.625,,,,24.229999542236328,31.51789276641219,30.440152794559133,20.04429285220979,21.840966900132486,18.739999771118164,19.485941431934666,27.02001613099103,,24.709999084472656,35.34160732863811
2013-09-16,7.644999980926514,,,,24.43000030517578,31.629407318495968,30.663530742372576,20.147772388255934,21.92122760977588,18.920000076293945,19.597057460061887,27.186292994761466,,24.799999237060547,35.517232687064755
2013-09-17,7.664999961853027,,,,24.510000228881836,31.680094696570666,30.76506406051624,20.240905549693974,21.97138983571565,18.940000534057617,19.617261074893296,27.27982397840441,,24.8700008392334,35.70318709439606
2013-09-18,7.704999923706055,,,,24.739999771118164,31.81188303972461,31.100129045612498,20.468565265985013,22.051650545359042,19.149999618530273,19.65766637783335,27.65394791297617,,24.940000534057617,36.08542495796332
2013-09-19,7.724999904632568,,,,24.81999969482422,31.92339759180839,31.079823543958106,20.44786856927753,22.121878427101226,19.149999618530273,19.748580717851922,27.550024377575507,,25.040000915527344,36.044100880582825
2013-09-20,7.695000171661377,,,,24.639999389648438,31.801747110989293,30.927519693494794,20.30299563981642,22.08174902906266,19.049999237060547,19.667768185249052,27.40453261732052,,24.950000762939453,35.78583130827612
2013-09-23,7.639999866485596,,,,24.649999618530273,31.61926814131344,30.74374212567804,20.209862478378383,21.891129126072258,18.889999389648438,19.566753964537536,27.29021653016213,,24.779000762939454,35.67219269646117
2013-09-24,7.639999866485596,,,,24.639999389648438,31.588719366118376,30.641772441456713,20.137424039902193,21.94129326557829,18.950000762939453,19.586955652646186,27.269431426646683,,24.829159916583233,35.67219269646117
2013-09-25,7.630000114440918,,,,24.450000762939453,31.527617931092536,30.590788571801028,20.09603262023286,21.8610325559349,18.75,19.536448619359334,27.13433134599173,,24.779000762939454,35.547719736370006
2013-09-26,7.644999980926514,,,,24.420000076293945,31.537801503596842,30.600985734714154,20.168469084963416,21.88109629817105,18.75,19.53644861935933,27.155212417665844,,24.849224343420367,35.599583139997655
2013-09-27,7.614999771118164,,,,24.31999969482422,31.425786090685172,30.54999992014851,20.08568427187912,21.83093407223128,18.719999313354492,19.485729783583086,27.050809050623858,,24.72883969584662,35.53734468149004
2013-09-30,7.554999828338623,,,,24.209999084472656,31.252669242747665,30.325668170789555,19.982202762087343,21.680445480845705,18.6299991607666,19.35386468001637,26.90464553156224,,24.578360321466228,35.34026216493536
2013-10-01,7.625,,,,24.31999969482422,31.507252728401774,30.325668170789555,20.116729316940344,21.871063470269846,18.700000762939453,19.516161085048832,27.071690122297976,,24.829159916583233,35.57883698716178
2013-10-02,7.639999866485596,,,,24.239999771118164,31.527617931092536,30.519410376319083,20.116729316940344,21.83093407223128,18.610000610351562,19.516161085048832,27.071690122297976,,24.829159916583233,35.53734468149004
2013-10-03,7.574999809265137,,,,24.100000381469727,31.334135880464267,30.18291177982567,19.940811342418012,21.63028134133967,18.579999923706055,19.404581581066854,26.956846219418935,,24.708775269009486,35.36100831777123
2013-10-04,7.610000133514404,,,,24.1299991607666,31.39523537317225,30.3970463662715,20.07533592352538,21.730607706785477,18.719999313354492,19.495873550738335,27.10300973848055,,24.75893633610232,35.568465889205875
2013-10-07,7.570000171661377,,,,24.1200008392334,31.242485670243358,30.3766539853552,19.920114645710527,21.70050922308186,18.600000381469727,19.384295981482115,26.98816782693011,,24.598424748303362,35.34026216493536
2013-10-08,7.5,,,,23.989999771118164,31.038818104792927,29.948382867553587,19.661411858103897,21.539987803795075,18.3799991607666,19.221999576449647,26.70627933331533,,24.417848733667274,34.8008740619749
