formatted_date,HXX.TO,EHE.TO,EUR-A.TO,EUR.TO,MEU.TO,RPD.TO,RPDH.TO,RWE-B.TO,RWE.TO,VE.TO,XEH.TO,XEU.TO,ZEQ.TO,ZWE.TO,ZWP.TO,VUS.TO
2012-07-13,,,,,,,,,,,,,,,,27.146934010607
2012-07-16,,,,,,,,,,,,,,,,27.136823189389528
2012-07-17,,,,,,,,,,,,,,,,27.298592471985195
2012-07-18,,,,,,,,,,,,,,,,27.470472575798336
2012-07-19,,,,,,,,,,,,,,,,27.521024753443744
2012-07-20,,,,,,,,,,,,,,,,27.278370829550244
2012-07-23,,,,,,,,,,,,,,,,26.954832264358913
2012-07-24,,,,,,,,,,,,,,,,26.63129369916758
2012-07-25,,,,,,,,,,,,,,,,26.782952160545772
2012-07-26,,,,,,,,,,,,,,,,27.17726454581746
2012-07-27,,,,,,,,,,,,,,,,27.692904857256885
2012-07-30,,,,,,,,,,,,,,,,27.622131037176526
2012-07-31,,,,,,,,,,,,,,,,27.56146803831364
2012-08-01,,,,,,,,,,,,,,,,27.51091393222627
2012-08-02,,,,,,,,,,,,,,,,27.17726454581746
2012-08-03,,,,,,,,,,,,,,,,27.77378949855472
2012-08-07,,,,,,,,,,,,,,,,27.996223708455233
2012-08-08,,,,,,,,,,,,,,,,28.006334529672706
2012-08-09,,,,,,,,,,,,,,,,28.01644342244822
2012-08-10,,,,,,,,,,,,,,,,28.036665064883167
2012-08-13,,,,,,,,,,,,,,,,28.04677588610064
2012-08-14,,,,,,,,,,,,,,,,27.996223708455233
2012-08-15,,,,,,,,,,,,,,,,28.097329992188016
2012-08-16,,,,,,,,,,,,,,,,28.339983916081515
2012-08-17,,,,,,,,,,,,,,,,28.360203630074498
2012-08-20,,,,,,,,,,,,,,,,28.4006469149444
2012-08-21,,,,,,,,,,,,,,,,28.28942980999414
2012-08-22,,,,,,,,,,,,,,,,28.259099274783683
2012-08-23,,,,,,,,,,,,,,,,28.077108349753065
2012-08-24,,,,,,,,,,,,,,,,28.208545168696308
2012-08-27,,,,,,,,,,,,,,,,28.28942980999414
2012-08-28,,,,,,,,,,,,,,,,28.238877632348732
2012-08-29,,,,,,,,,,,,,,,,28.299540631211617
2012-08-30,,,,,,,,,,,,,,,,28.06699752853559
2012-08-31,,,,,,,,,,,,,,,,28.198434347478834
2012-09-04,,,,,,,,,,,,,,,,28.28942980999414
2012-09-05,,,,,,,,,,,,,,,,28.238877632348732
2012-09-06,,,,,,,,,,,,,,,,28.754517943788155
2012-09-07,,,,,,,,,,,,,,,,28.89606558394887
2012-09-10,,,,,,,,,,,,,,,,28.825291763868513
2012-09-11,,,,,,,,,,,,,,,,28.79495930021609
2012-09-12,,,,,,,,,,,,,,,,28.906176405166345
2012-09-13,,,,,,,,,,,,,,,,29.280267148003087
2012-09-14,,,,,,,,,,,,,,,,29.44203835904072
2012-09-17,,,,,,,,,,,,,,,,29.371262610518396
2012-09-18,,,,,,,,,,,,,,,,29.270158255227578
2012-09-19,,,,,,,,,,,,,,,,29.371262610518396
2012-09-20,,,,,,,,,,,,,,,,29.2600474340101
2012-09-21,,,,,,,,,,,,,,,,29.35104289652541
2012-09-24,,,,,,,,,,,,,,,,29.30453426056267
2012-09-25,,,,,,,,,,,,,,,,29.000859179980246
2012-09-26,,,,,,,,,,,,,,,,28.798411056965435
2012-09-27,,,,,,,,,,,,,,,,29.03122726725053
2012-09-28,,,,,,,,,,,,,,,,28.919879544632963
2012-10-01,,,,,,,,,,,,,,,,29.05147265876405
2012-10-02,,,,,,,,,,,,,,,,28.89963415311944
2012-10-03,,,,,,,,,,,,,,,,29.112206902597816
2012-10-04,,,,,,,,,,,,,,,,29.29441156480591
2012-10-05,,,,,,,,,,,,,,,,29.284288869049146
2012-10-09,,,,,,,,,,,,,,,,28.970493023416765
2012-10-10,,,,,,,,,,,,,,,,28.74779757818163
2012-10-11,,,,,,,,,,,,,,,,28.818654517772153
2012-10-12,,,,,,,,,,,,,,,,28.697186030104625
2012-10-15,,,,,,,,,,,,,,,,28.828777213528916
2012-10-16,,,,,,,,,,,,,,,,29.17294114643158
2012-10-17,,,,,,,,,,,,,,,,29.32477772136939
2012-10-18,,,,,,,,,,,,,,,,29.253920781778866
2012-10-19,,,,,,,,,,,,,,,,28.818654517772153
2012-10-22,,,,,,,,,,,,,,,,28.707308725861388
2012-10-23,,,,,,,,,,,,,,,,28.494735976383012
2012-10-24,,,,,,,,,,,,,,,,28.32265400993168
2012-10-25,,,,,,,,,,,,,,,,28.33277670568844
2012-10-26,,,,,,,,,,,,,,,,28.43400173254925
2012-10-29,,,,,,,,,,,,,,,,28.403633645278966
2012-10-30,,,,,,,,,,,,,,,,28.494735976383012
2012-10-31,,,,,,,,,,,,,,,,28.393510949522202
2012-11-01,,,,,,,,,,,,,,,,28.717431421618148
2012-11-02,,,,,,,,,,,,,,,,28.454247124062768
2012-11-05,,,,,,,,,,,,,,,,28.504858672139772
2012-11-06,,,,,,,,,,,,,,,,28.75792027393839
2012-11-07,,,,,,,,,,,,,,,,28.24167437458439
2012-11-08,,,,,,,,,,,,,,,,27.90763313743849
2012-11-09,,,,,,,,,,,,,,,,27.846898893604727
2012-11-12,,,,,,,,,,,,,,,,27.816530806334445
2012-11-13,,,,,,,,,,,,,,,,27.897510441681728
2012-11-14,,,,,,,,,,,,,,,,27.33065299425073
