formatted_date,ZQQ.TO,XQQ.TO,HXQ.TO,HXS.TO
2019-12-23,69.07071497132439,74.67280198298657,16.052499771118164,20.482500076293945
2019-12-24,69.10275017733129,74.66206312597188,16.052499771118164,20.5049991607666
2019-12-27,69.52990331244976,75.26330805722958,16.112499237060547,20.489999771118164
2019-12-30,69.15424168040722,74.72003630903245,15.962499618530273,20.334999084472656
2019-12-31,69.2401095359625,74.91369548728115,15.8774995803833,20.25
2020-01-02,70.4314994181613,76.08641168010162,16.114999771118164,20.452499389648438
2020-01-03,69.87336654586144,75.52694818368002,16.047500610351562,20.337499618530273
2020-01-06,70.22756530841987,75.9250276635057,16.072500228881836,20.354999542236328
2020-01-07,70.25976370705074,75.9250276635057,16.149999618530273,20.360000610351562
2020-01-08,70.73202872379532,76.45220778994248,16.287500381469727,20.5
2020-01-09,71.48335198788041,77.13001901797895,16.475000381469727,20.697500228881836
2020-01-10,71.21502108087725,76.9793961247113,16.434999465942383,20.63249969482422
2020-01-13,71.98781540325587,77.81858316101165,16.607500076293945,20.764999389648438
2020-01-14,71.64435216984418,77.4958151278198,16.545000076293945,20.75
2020-01-15,71.7409473657368,77.48505400449152,16.514999389648438,20.762500762939453
2020-01-16,72.47080776033778,78.23817667916182,16.68000030517578,20.905000686645508
2020-01-17,72.83574205204297,78.84066825223242,16.764999389648438,21.024999618530273
2020-01-20,72.85720492152709,78.78687905225514,16.825000762939453,21.0
2020-01-21,72.8035436534121,78.70080648229305,16.799999237060547,21.010000228881836
2020-01-22,73.02894063263763,78.94825486051901,16.940000534057617,21.125
2020-01-23,73.18994081460141,79.14191403876771,16.969999313354492,21.122499465942383
2020-01-24,72.62108060196422,78.45334989573502,16.8174991607666,20.952499389648438
2020-01-27,71.10769035583786,76.83952614643987,16.55500030517578,20.6875
2020-01-28,72.30981576718342,78.11982894754695,16.780000686645508,20.875
2020-01-29,72.27760917974312,78.10906782421867,16.8799991607666,20.93000030517578
2020-01-30,72.62108060196422,78.4641110190633,16.877500534057617,20.93000030517578
2020-01-31,71.45115358924953,77.19456934128449,16.6924991607666,20.670000076293945
2020-02-03,72.53521274640894,78.43183585741052,17.012500762939453,20.912500381469727
2020-02-04,74.15592552876527,80.11020993001121,17.412500381469727,21.184999465942383
2020-02-05,74.39205803713755,80.4007028015503,17.497499465942383,21.424999237060547
2020-02-06,75.04678610533001,81.11078098290749,17.600000381469727,21.52750015258789
2020-02-07,74.70332287191835,80.74498487306664,17.540000915527344,21.427499771118164
