formatted_date,DFE.TO,DRME.TO,ELV.TO,EMV-B.TO,FLEM.TO,HEMB.TO,MEE.TO,MEME-B.TO,QEBL.TO,QEM.TO,RXD.TO,RXE.TO,VEE.TO,XEB.TO,XEC.TO,XEM.TO,XMM.TO,XSEM.TO,ZEF.TO,ZEM.TO,ZLE.TO,HAZ.TO,HXEM.TO
2015-05-14,,,20.306777645794693,,,,,,,,21.96138219803392,,33.68746586325886,24.299747547314567,24.748699213693396,30.736932876500113,28.750231879989943,,20.401982373015283,19.45761280756694,,20.70352490637116,
2015-05-15,,,20.582850171447454,,,,,,,,22.173814820688982,,34.016899046901855,24.41319217923307,25.25461733207339,30.970592309902518,28.8343583007688,,20.462703951181567,19.631438329997888,,20.74966062872411,
2015-05-19,,,20.582850171447454,,,,,,,,22.305319259906618,,34.42072468419016,24.41319217923307,25.25461733207339,31.27859986035842,29.244474351349208,,20.28054384926545,19.794399498256443,,21.003407101665356,
2015-05-20,,,20.582850171447454,,,,,,,,22.343760965119447,,34.293202292259444,24.231681633674015,25.25461733207339,31.172390290346762,29.00261114232651,,20.426271004281798,19.750944153730543,,20.96880530990064,
2015-05-21,,,20.828251005760745,,,,,,,,22.201830140030168,,34.21881389247788,24.41319217923307,25.523064042311844,31.04493840117696,28.918484721547657,,20.523423213056486,19.66403139251507,,21.061076754606546,
2015-05-22,,,20.80780061119181,,,,,,,,22.74927346472569,,34.62263952976619,24.43361109646979,25.461115407429613,31.437913202486378,29.21292819713969,,20.523423213056486,19.85958562329081,,21.164884263837894,
2015-05-25,,,20.889600239210584,,,,,,,,22.678309018999112,,34.92019312889244,24.524611425391466,25.662449947780555,31.395428564170093,29.18138003719809,,20.572000475589512,19.94649838450628,,21.33789322266147,
2015-05-26,,,20.889600239210584,,,,,,,,22.31334680253543,,34.38884509967342,24.43361109646979,25.662449947780555,31.246736381621204,29.086737563105366,,20.483347425459847,19.761808507902938,,21.049542824018307,
2015-05-27,,,20.81802580847628,,,,,,,,22.637756802220427,,34.5907558913857,24.353986079865695,25.791510752550295,31.34232479205379,29.254990404663076,,20.49554017378265,19.848721269118414,,21.3263594291915,
2015-05-28,,,20.674874996750695,,,,,,,,22.110589585914248,,34.00627387001752,24.28573637557918,25.533389143010815,30.853761580311787,28.950032881489257,,20.471157002666,19.5662542771272,,21.245446874873096,
2015-05-29,,,20.879375041926117,,,,,,,,22.211968194224838,,33.740599855408014,24.353986079865695,25.09974476021202,30.641344466067526,28.676621512524957,,20.483347425459847,19.468477161739333,,21.118298575229886,
2015-06-01,,,20.53172613528208,,,,,,,,22.29307069414609,,33.90000385878734,24.18336073433992,25.09974476021202,30.694448238183828,28.687137565838825,,20.36142459328973,19.511932506265232,,21.21077006587949,
2015-06-02,,,20.53172613528208,,,,,,,,22.141003748498264,,33.666211455626446,24.17198542202234,25.09974476021202,30.5245137364768,28.48733656433951,,20.300460851675712,19.35983569217907,,21.037383882347864,
2015-06-03,,,20.59307536873192,,,,,,,,21.796317640423926,,33.666211455626446,24.149234797387173,25.172018495793218,30.460788804781426,28.403210143560656,,20.32484634832132,19.348971338006677,,21.106737500335072,
2015-06-04,,,20.552176529851018,,,,,,,,21.593560423802742,,33.2411334376376,24.149234797387173,24.996495722533908,30.110298641788294,28.098250614654752,,20.312653599998516,19.20773887809291,,20.96803026436066,
2015-06-05,,,20.43970130997884,,,,,,,,21.66452680316544,,32.92232340394707,23.92173505989247,24.490577604153913,29.844775729648678,27.908967672201392,,20.25169218391346,19.012184647317174,,20.748410474067846,
2015-06-08,,,20.010252775316033,,,,,,,,21.522595978076165,,32.83730780034929,23.910359747574887,24.490577604153913,29.74918731921609,27.8038091447948,,20.11757427789158,19.066504346015467,,20.551906417873816,
2015-06-09,,,20.010252775316033,,,,,,,,21.238738195169855,,32.45473859762527,23.807984106335628,24.490577604153913,29.398697156222962,27.42523924842391,,20.129767026214385,18.69712459280878,,20.47099386355541,
2015-06-10,,,19.938678344581724,,,,,,,,21.461769586544257,,32.68853100078617,23.762482857065297,24.418303868572714,29.642977749204434,27.625040249923224,,19.995649120192507,18.838359124886225,,20.57502429053622,
2015-06-11,,,19.734178299406306,,,,,,,,21.431355423960245,,32.6035153971884,23.751107544747715,24.087908523452032,29.56863165792999,27.56194393004002,,20.11757427789158,18.751446363670752,,20.679054717517026,
2015-06-12,,,19.85687871656295,,,,,,,,21.411081249207022,,32.70978540841858,23.751107544747715,24.263431296711342,29.611114270467223,27.572459983353887,,20.032227365160917,18.77317507201554,,20.57502429053622,
2015-06-15,,,19.836428321994013,,,,,,,,21.086669315885906,,32.32721417876268,23.728359089731534,24.263431296711342,29.281866426632234,27.351628880958923,,19.922494955784646,18.64280489411049,,20.44787599089301,
2015-06-16,,,19.836428321994013,,,,,,,,21.167771815807154,,32.41222978236045,23.694233152778786,24.263431296711342,29.292487586211305,27.414723195110042,,19.995649120192507,18.675397956627673,,20.58658322686742,
2015-06-17,,,19.683054263240933,,,,,,,,21.259012369923074,,32.49724538595822,23.74883314184837,24.119915445489998,29.299922308782374,27.381073798146037,,20.032227365160917,18.621076185765702,,20.505670672549016,
2015-06-18,,,19.775079088544175,,,,,,,,21.279288478312417,,32.70978540841858,23.919933812551164,24.151052021751738,29.57693999992795,27.592754634900093,,20.08099603292317,18.82749477071383,,20.72529046284183,
2015-06-19,,,19.63193022707556,,,,,,,,21.04611903274334,,32.56100658192358,23.95415481695695,24.151052021751738,29.427777409383364,27.51866624109831,,20.239499435590655,18.816630416541436,,20.655936844854626,
2015-06-22,,,19.683054263240933,,,,,,,,21.388776416204337,,33.113609018775016,24.034001651574048,24.151052021751738,29.907229464214346,27.825606179714075,,20.263884932236262,19.066504346015467,,20.979589200691862,
2015-06-23,,,19.683054263240933,,,,,,,,21.571673633391647,,33.43241702553368,24.05681565451124,24.151052021751738,30.269483211697956,28.016118327165525,,20.227306687267852,19.2294675864377,,20.991148137023064,
2015-06-24,,,19.95912873915066,,,,,,,,21.68344458568286,,33.453671433166086,24.05681565451124,24.545438756575987,30.216211438557142,28.04787136111943,,20.300460851675712,19.2294675864377,,20.95647132802946,
2015-06-25,,,20.02661279453212,,,,,,,,21.52086971219311,,33.113609018775016,24.045408653042646,24.763390831278386,29.885919942082868,27.80443749041147,,20.215114590093155,19.05564206400675,,20.736849399173032,
2015-06-26,,,20.02661279453212,,,,,,,,21.368456010552144,,32.74379111474767,23.942747815488353,24.25483862972598,29.61955701200303,27.603338979551395,,20.166166462448647,18.903543177756912,,20.748410611483386,
2015-06-29,,,19.780005173013198,,,,,,,,21.002661576177527,,32.21929127585474,23.82867997646547,24.25483862972598,29.17206720818138,27.391656124040015,,20.239588653915405,18.740582009498358,,20.377696408566507,
2015-06-30,,,19.780005173013198,,,,,,,,21.39893758805312,,32.93646494161485,23.942747815488353,24.25483862972598,29.779376395801236,27.910278918167162,,20.227351622004278,18.914407531929307,,20.516713430907895,
2015-07-02,,,19.913583566387263,,,,,,,,21.93746806776626,,33.22547568191561,23.988375821362737,24.358623258135328,30.045739325881076,28.217216838025603,,20.251823351851343,19.164281461403334,,20.75999536334517,
2015-07-03,,,19.913583566387263,,,,,,,,21.744409678730175,,33.28969961032405,24.05681565451124,24.358623258135328,30.024429803749598,28.270136542524785,,20.313008511406974,19.109961762705044,,20.70206946069641,
2015-07-06,,,20.047163919624488,,,,,,,,21.165236449667276,,32.46548470278863,24.05681565451124,24.586954191591644,29.43843013826122,27.80443749041147,,20.166166462448647,18.686262310800064,,20.725238964419976,
2015-07-07,,,20.047163919624488,,,,,,,,21.165236449667276,,32.197882619171295,23.919933812551164,24.586954191591644,29.08683115184335,27.635092013505297,,20.251823351851343,18.631940539938096,,20.956936144995467,
2015-07-08,,,19.94441025402581,,,,,,,,20.62670596995413,,31.116769956360265,23.862900980871256,24.047265413777495,28.213161066331534,27.084718204181573,,20.178403494359774,18.067006555955672,,20.713654212558193,
2015-07-09,,,19.84165658842714,,,,,,,,20.972178060631187,,31.737606708686794,23.90852681108257,23.787799883624334,28.64999610908744,27.084718204181573,,20.313008511406974,18.403795318808854,,20.725238964419976,
2015-07-10,,,19.471746136080334,,,,,,,,21.317650151308243,,32.46548470278863,23.99978282283133,23.99537309957282,29.34254135304533,27.762100111806266,,20.288534447584723,18.82749477071383,,21.061198911751507,
2015-07-13,,,19.862207713519506,,,,,,,,21.317650151308243,,32.80801504315611,23.95415481695695,23.99537309957282,29.683485578397462,27.994951656620245,,20.227351622004278,18.968727230627596,,21.30448084418878,
2015-07-14,,,19.862207713519506,,,,,,,,21.429421103599456,,32.91505628493142,23.862900980871256,23.99537309957282,29.73675735153828,28.121959754921214,,20.166166462448647,18.990455938972385,,21.431913114668387,
2015-07-15,,,20.047163919624488,,,,,,,,21.541192055890672,,32.957873598298285,23.885714983808448,24.275594367668912,29.80068388574483,28.280720887176084,,20.215114590093155,19.012184647317174,,21.698364550829222,
2015-07-16,,,20.160193147769345,,,,,,,,21.774893194276515,,33.471669108849504,23.95415481695695,24.327488661438483,30.269483211697956,28.672333564244937,,20.3252455433181,19.28378728513599,,21.953229091788433,
2015-07-17,,,20.334873791328143,,,,,,,,21.835858287323827,,33.503780052232784,23.965561818425545,24.773769690032303,30.301447494895175,28.640580530291032,,20.361954305076292,19.294651639308384,,21.895305332479523,
2015-07-20,,,20.489003309794576,,,,,,,,21.6631222419853,,33.33251488204905,23.93134081401976,24.773769690032303,30.10966586008763,28.534739102535344,,20.313008511406974,19.186010169748123,,21.906890084341303,
2015-07-21,,,20.489003309794576,,,,,,,,21.49038619664677,,33.246882296957175,23.942747815488353,24.773769690032303,30.024429803749598,28.450066364082257,,20.276297415673596,19.15341710723094,,21.709949302691005,
2015-07-22,,,20.365698519103535,,,,,,,,21.439582275448238,,32.989984541681565,23.97696881989414,24.638846505796316,29.758066873669758,28.30188957647869,,20.337482575229227,19.012184647317174,,21.709949302691005,
2015-07-23,,,20.365698519103535,,,,,,,,21.0839490129224,,32.71167812972252,23.897121985277042,24.586954191591644,29.4597396603927,28.248969871979504,,20.300771479495847,18.870952187403407,,21.5825170322114,
2015-07-24,,,19.985512504210547,,,,,,,,20.840086702687778,,32.27281087592145,23.825258302454852,23.85007105658292,29.06552366189975,27.973782967317643,,20.1906405262709,18.577620841239803,,21.40874361094482,
2015-07-27,,,19.985512504210547,,,,,,,,20.372682487870726,,31.4914132817529,23.722267096206185,23.85007105658292,28.50083351854285,27.55041927505221,,20.178403494359774,18.197376733860725,,21.142292174783982,
2015-07-28,,,19.985512504210547,,,,,,,,20.433649518963406,,31.5342285534779,23.722267096206185,23.85007105658292,28.55410529168367,27.55041927505221,,20.190641179783952,18.20824108803312,,21.478252122115514,
2015-07-29,,,19.636151217092948,,,,,,,,20.433649518963406,,31.951689192237406,23.722267096206185,23.36227657253834,28.92701380023302,27.709180407307084,,20.264328992951093,18.349473547946882,,21.687938499598676,
2015-07-30,,,19.646426779639132,,,,,,,,20.565740876906816,,31.823239293778663,23.85958943209257,23.393413148800086,28.6926151533504,27.656258684050577,,20.301174070781336,18.327746911765775,,21.850481002158908,
2015-07-31,,,19.615600092000584,,,,,,,,20.81976435899022,,32.22999560419645,23.928249508703523,23.652878678953243,29.129450196106305,28.07962439507333,,20.23976560773093,18.588485195412197,,21.954972610947628,
2015-08-04,,,20.016337231985936,,,,,,,,20.81976435899022,,32.10154570573771,23.88247685185105,23.798178742378248,29.03355937870253,28.05845570577073,,20.301174070781336,18.425521954989964,,22.071076546534822,
2015-08-05,,,20.23212012572947,,,,,,,,21.04330432552728,,32.165769634146145,23.88247685185105,23.787799883624334,29.07617842296549,28.164297133526418,,20.202922872394034,18.51243678836912,,22.140737619060637,
2015-08-06,,,20.23212012572947,,,,,,,,20.850247874536556,,31.726902380345077,23.802370882696376,23.466063180512585,28.681960392284658,27.825606179714075,,20.21520222251077,18.284289495076198,,21.87370135966751,
2015-08-07,,,19.79028073555938,,,,,,,,20.65718948550047,,31.76971969371195,23.756598225843902,23.51795549471726,28.66065087015318,27.740931422503664,,20.17835948717387,18.2408341505503,,21.838870823404605,
2015-08-10,,,19.851932150973322,,,,,,,,20.65718948550047,,31.983800135620687,23.756598225843902,23.64249982019933,28.873742027092206,27.815021835062772,,20.116951024123466,18.447250663334753,,21.838870823404605,
2015-08-11,,,19.389543595574025,,,,,,,,20.565740876906816,,31.523526266778056,23.756598225843902,23.23773224705627,28.436906984336296,27.31756773023823,,20.21520222251077,18.05614427394696,,21.804040287141696,
2015-08-12,,,19.029906745910246,,,,,,,,19.996728819692695,,30.742126630967633,23.79092935548162,22.69804544880702,27.73370901150055,26.820115644171015,,20.21520222251077,17.621578395705907,,21.595057069564255,
2015-08-13,,,19.029906745910246,,,,,,,,20.26091347362488,,30.92409612949309,23.79092935548162,22.874482088493764,27.936143375185956,27.03179849968239,,20.190641179783952,17.849725688998827,,21.687938499598676,
2015-08-14,,,19.05045787100261,,,,,,,,20.2507523017761,,31.02043304292668,23.756598225843902,22.967887858149197,27.978762419448913,26.957708087123283,,20.17835948717387,17.838861334826433,,21.76920975087879,
2015-08-17,,,18.855226102351445,,,,,,,,19.976406475995137,,30.72072001592607,23.768041935723144,22.967887858149197,27.659125684040376,26.735442905717928,,20.23976560773093,17.65417145822309,,21.850481002158908,
2015-08-18,,,19.05045787100261,,,,,,,,19.77318691511027,,30.292555048824845,23.745154515964664,22.967887858149197,27.307526697622503,26.364998917951677,,20.15379610195371,17.415161882921456,,21.72276903586158,
2015-08-19,,,18.855226102351445,,,,,,,,19.559808120421987,,30.09988326359954,23.665050729474473,22.71880118674995,27.08378281180562,26.22740647499941,,20.14151440934363,17.31738373145175,,21.676328320844373,
2015-08-20,,,18.59834291828634,,,,,,,,19.559808120421987,,29.479046511273015,23.596390652863523,22.36592790737646,26.55105695164594,25.77228974878007,,20.08010828878657,16.96973268658985,,21.165476159566726,
2015-08-21,,,17.930447031689695,,,,,,,,18.889186282765433,,28.804688117237898,23.504843156494093,21.245036896297403,25.943749796213968,25.317173022560738,,19.945012012569023,16.58948961529261,,20.78233811263058,
2015-08-24,,,17.930447031689695,,,,,,,,18.797737674171778,,27.691464511043584,23.135218303190364,21.245036896297403,25.240551823378222,24.533949687180357,,19.65025841740712,16.111468392525662,,20.236657563134198,
2015-08-25,,,17.1700710821774,,,,,,,,18.93999020396397,,28.205260021594807,23.37633090277593,20.404369132879335,25.613460331927573,25.147827545654565,,19.859042506791805,16.38307103034448,,20.050894703065364,
2015-08-26,,,17.694113012853794,,,,,,,,19.35658855953712,,28.997361944105073,23.387812663701144,20.944057910693484,26.18880320416233,25.27483564395553,,19.883604205416756,16.68726569459864,,20.550134537544533,
