formatted_date,HXS.TO,ZQQ.TO
2012-01-03,21.8799991607666,18.02299984741211
2012-01-04,21.81999969482422,18.04300030517578
2012-01-05,21.940000534057617,18.162999237060546
2012-01-06,21.899999618530273,18.2429991607666
2012-01-09,21.899999618530273,18.223000610351562
2012-01-10,22.18000030517578,18.363
2012-01-11,22.079999923706055,18.363
2012-01-12,22.200000762939453,18.463000381469726
2012-01-13,22.059999465942383,18.342999542236328
2012-01-16,22.020000457763672,18.442999923706054
2012-01-17,22.18000030517578,18.502999389648437
2012-01-18,22.399999618530273,18.783000076293945
2012-01-19,22.440000534057617,18.893000686645507
2012-01-20,22.479999542236328,18.822999084472656
2012-01-23,22.5,18.842999542236328
2012-01-24,22.5,18.863
2012-01-25,22.700000762939453,19.072999084472656
2012-01-26,22.65999984741211,18.963000381469726
