,formatted_date,HXS.TO
166,2019-02-25,70.44000244140625
167,2019-02-26,70.19999694824219
168,2019-02-27,70.02999877929688
169,2019-02-28,69.94999694824219
170,2019-03-01,71.16999816894531
171,2019-03-04,70.87999725341797
172,2019-03-05,71.20999908447266
173,2019-03-06,71.0999984741211
174,2019-03-07,70.58999633789062
175,2019-03-08,70.22000122070312
176,2019-03-11,71.20999908447266
177,2019-03-12,71.20999908447266
178,2019-03-13,71.33000183105469
179,2019-03-14,71.47000122070312
180,2019-03-15,71.94999694824219
181,2019-03-18,72.1500015258789
182,2019-03-19,72.05000305175781
183,2019-03-20,71.7300033569336
184,2019-03-21,73.02999877929688
185,2019-03-22,71.91000366210938
186,2019-03-25,71.73999786376953
187,2019-03-26,71.9000015258789
188,2019-03-27,71.87999725341797
189,2019-03-28,72.31999969482422
